id,id2,-,-,-,-,name,-,description,price,price2,-,-,-,option groups,-,-,-,-,photo,-,-,-,category,-
61,61,,,,,Huiskamer filterkoffie 500 gram,,"Speciaal voor Anne&Max geselecteerd en gebrand. Biologisch en 100% Arabica. Bonen uit Peru en Ethiopië. Romig zoete filterkoffie met smaaktonen van melkchocolade, ahornsiroop en aardbei",18.5,18.5,0,0,0,,0,0,"delivery,takeaway",1,c3831c9314da52080a400ea82de4a0bb.webp,,,9,Voor thuis,
62,62,,,,,Decafe 250 gram,,Biologisch en 100% Arabica bonen uit Colombia. Deze koffie wordt ge-decaffineerd met reststromen uit de suikerindustrie; een milieuvriendelijke manier die bovendien een heerlijk zoete smaak aan de koffie geeft,10,10,0,0,0,,0,0,"delivery,takeaway",1,d874f1f0c59589d41dd2615a6f3fbee7.webp,,,9,Voor thuis,
63,63,,,,,Vandaag blijf ik binnen,,"De Anne&Max klassieker! Rustgevende rooibos met sinaasappel, kardemon, kaneel en gemberwortel. Losse thee",3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,b483ac88c154b4296dd90693ea8fee7a.webp,,,9,Voor thuis,
64,64,,,,,Een wijs besluit,,Volle earl grey thee met korenbloem en bergamot,3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Voor thuis,
65,65,,,,,Even niks,,Zachte en bloemige groene thee met jasmijnbloesem. Zakjes,3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,7df802586d83058947139f4288652467.webp,,,9,Voor thuis,
66,66,,,,,Een beetje geluk,,"Fruitige en frisse witte thee met framboos, gember en citroenmirte. Zakjes",3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,a12a95ab2dfd4c5677f9d2074d2cc007.webp,,,9,Voor thuis,
67,67,,,,,Held in mok,,Kruidige melange van groene rooibos en kruidnagel,3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Voor thuis,
68,68,,,,,Gek op jou,,"Verkoelende ijsthee van zwarte en groene thee, jasmijnbloesem en bergamot",3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Voor thuis,
69,69,,,,,Zomerdag,,Verfrissende bio groene ijsthee met framboos en appel,3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Voor thuis,
70,70,,,,,Anne&Max chai,,"Kruidige chai met zwarte thee, gember, kruidnagel en zwarte peper. Gezoet met kokosbloemsuiker",13.5,13.5,0,0,0,,0,0,"delivery,takeaway",1,d223e17a894a13a504e7cc655a3acaa2.webp,,,9,Voor thuis,
71,71,,,,,Kurkumma latte,,Kurkuma met masala chai kruiden. 200 gram,17.5,17.5,0,0,0,,0,0,"delivery,takeaway",1,4d5a8ff766e89e2fee1441755a5c1075.webp,,,9,Voor thuis,
72,72,,,,,Max's mints menthol,,Bio mint,3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,4318b785a06195aa95c56a5d4622a49e.webp,,,9,Voor thuis,
73,73,,,,,Max's mints lemon,,Bio lemon,3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,7cefa0d4c0db681ec3f0093eae648ff4.webp,,,9,Voor thuis,
74,74,,,,,Max's mints ginger,,Bio mint gember,3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,884242ead3eba9c30204c8ee583edd97.webp,,,9,Voor thuis,
75,75,,,,,Focaccia roerei,,,11.5,11.5,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Lunch,
76,76,,,,,Focaccia tuna melt,,"Met kappertjes, rode ui, augurk en kaas",14,14,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Lunch,
77,77,,,,,Iced matcha mango,,,5.95,5.95,0,0,0,,0,0,"delivery,takeaway",1,,,,9,IJskoffies,
